,name,formatted_address,rating,types,lat,lng,id,place_id
36,Columbus Park,"Mulberry Street &, Baxter St, New York, NY 10013, United States",4.1,"park, point_of_interest, establishment",40.7156618,-73.9999961,e447eef7610ff9b20f12fc5c4d9f5b888ee84552,ChIJZQD10CZawokRCuvDW1oLE-Y
37,The High Line,"New York, NY 10011, USA",4.7,"park, point_of_interest, establishment",40.7479925,-74.0047649,72dc79d023feec77725d7336e7c46fee27805319,ChIJ5bQPhMdZwokRkTwKhVxhP1g
38,Juniper Valley Park,"80th St., Juniper Blvd. N, Juniper Blvd. S, Middle Village, NY 11379, United States",4.7,"park, point_of_interest, establishment",40.720497,-73.8796412,61c567aae7556de1c9bfd0e7abaffdbd2e52ed03,ChIJwaaRmmdewokRTRadCEvkHnA
39,Sara D. Roosevelt Park,"Chrystie St &, Forsyth St, New York, NY 10002, United States",3.9,"park, point_of_interest, establishment",40.7217408,-73.9915425,c91788ad6990d3c221ff6168995901e4cc70cc5b,ChIJX0-MTYZZwokR0L585ip8P18
40,Sakura Park,"3916, 500 Riverside Dr, New York, NY 10027, United States",4.5,"park, point_of_interest, establishment",40.8127856,-73.9622491,911f08e428cceacc478c2aa03da7b4b9cb940d78,ChIJ6ZV3WUD2wokRd56jEa1BSjg
41,Pelham Bay Park,"Watt Avenue &, Middletown Rd, Bronx, NY 10465, United States",4.4,"park, lodging, point_of_interest, establishment",40.8654997,-73.8091736,ae675aac3963f6221a0b6aff482edaa0bef1e4a6,ChIJ0yDZfqCMwokR4_gc794XRHA
42,Union Square Park,"201 Park Ave S, New York, NY 10003, USA",4.5,"park, point_of_interest, establishment",40.7358235,-73.9905215,ba0fb5cd74f8656dc1be451bf69acba17b7cfea4,ChIJuwazLZ9ZwokRoDhp6p5_XCo
43,Astoria Park,"19 19th St, Astoria, NY 11105, USA",4.6,"park, point_of_interest, establishment",40.7792459,-73.9229654,e32486c0c25fd7387d5dd89f678197cc75d04e3d,ChIJhTKnW1pfwokRybwkvof4QWs
44,Mount Prospect Park,"Eastern Pkwy, Brooklyn, NY 11238, USA",4.5,"park, point_of_interest, establishment",40.6717046,-73.96675239999999,7b02a28c1b6a331e2b5a5baa650bc72590c94a94,ChIJAYbjmwlbwokReniI6h1d49E
45,Gantry Plaza State Park,"4-09 47th Rd, Long Island City, NY 10007, USA",4.7,"park, point_of_interest, establishment",40.7455077,-73.9587485,546280eddd86659a1d2e9ca26b6fd30df9b1c866,ChIJ7eAADSJawokRObgUbl1g6mk
46,South Slope Dog Run,"Brooklyn, NY 11215, USA",3.9,"park, point_of_interest, establishment",40.6609634,-73.9880527,096ff56a778f1368f08f77c0c004abdce2b6dfec,ChIJne7UReFawokRVTnh7XKHt5k
47,Vesuvio Playground,"101 Thompson St, New York, NY 10012, USA",4.3,"park, point_of_interest, establishment",40.7253366,-74.0025474,95719923d3a85ddc578da0f7d09ed213c9e1d01d,ChIJy4wBT4xZwokRlPlUcvHPRBE
48,Battery Park City Parks,"75 Battery Pl, New York, NY 10280, USA",5.0,"local_government_office, park, point_of_interest, establishment",40.7067678,-74.0171771,c4ffd85ccfad5875320e82055126e77069f92f71,ChIJ21_PURBawokRsSwjFUtw4i8
49,East River State Park Dog Run,"90 Kent Ave, Brooklyn, NY 11249, USA",3.1,"park, point_of_interest, establishment",40.7215092,-73.9609104,2040bf05b0df53fea6dbe149142f817fa520bbbc,ChIJ2bbP6WdZwokR_GMDsF65Wf4
50,New York Vietnam Veterans Memorial Plaza,"55 Water St, New York, NY 10041, USA",4.4,"park, point_of_interest, establishment",40.7026773,-74.0097895,f37af8a995f15b95c6ac6cc8bd7ec5ee6a19d397,ChIJ6UIVsxVawokR3eZJUCIPr3E
51,Socrates Sculpture Park,"32-01 Vernon Blvd, Long Island City, NY 11106, USA",4.3,"park, point_of_interest, establishment",40.768479,-73.9366363,d05f4c3d96f29273f6fe90bb73c3f0591c48b591,ChIJvcjmWLVYwokRFz2FMdi00cA
52,Greeley Square Park,"North Broadway, New York, NY 10001, USA",4.3,"park, point_of_interest, establishment",40.7487156,-73.9882971,24056f7b25fbba87fb322682005e38be509373b5,ChIJEeWrKalZwokRg6qlyNqcv2A
53,Battery Park,"New York, NY 10004, USA",4.5,"park, point_of_interest, establishment",40.7032775,-74.0170279,58fc4a0c3ef0ffc426a52c0ea131e1bd7b8d7084,ChIJraKL-BJawokREpxDmF5GcL4
54,James J Walker Park,"Hudson St, New York, NY 10013, USA",4.2,"park, point_of_interest, establishment",40.7298199,-74.0063953,1a866ece0876016d46376a71418638b526d85436,ChIJz1YttJJZwokRZtZyCKbuzMU
55,Freshkills Park,"Staten Island, NY 10314, USA",3.8,"park, point_of_interest, establishment",40.5773669,-74.18616159999999,7c3bb99c8b81313aed1f6e478f55d51cfc93c9d1,ChIJt5Y1K3xLwokRcrFMDAs6WGo
56,Tribeca Park,"8 Beach St, New York, NY 10013, USA",4.4,"park, point_of_interest, establishment",40.72019040000001,-74.005545,de0fe4b2c12856dd22b4fef8db36ed442871e608,ChIJFVr4xopZwokRXbYt0DfWPoU
57,Governors Island Picnic Point,"910 Gresham Rd, Brooklyn, NY 11231, USA",4.7,"park, point_of_interest, establishment",40.6854942,-74.02597279999999,6396548ac71a1bc5ff465659a97915f19acf2f63,ChIJozrGZ2VawokRhCYCtqZjo2E
58,Corlears Hook Park,"397 FDR Dr., New York, NY 10002, USA",4.2,"park, point_of_interest, establishment",40.7116965,-73.9796972,9e7ae898ce4397465990c8d0dac7537dcf084aa1,ChIJbZSkRNRbwokRdMAaOge7PUU
59,St. Vartan Park,"1st Avenue &, E 35th St, New York, NY 10016, United States",4.2,"park, point_of_interest, establishment",40.7451124,-73.9736293,182780cb7a5a8f32d24144915e3e777bf4e517e5,ChIJ61QpcwVZwokRKRSfanl07Ro
