,attraction__id,attraction__name,attraction__location__lat,attraction__location__lng,attraction__opening__hours,attraction__rating,results__type
149,XSwagBljEsxG2i1rq4GEAQ,Almondine Bakery,40.7033174,-73.99125059999999,730.0,4.0,Bakeries
150,aac8M8uK8XUDBNUR_SyZdw,The Bao Shoppe,40.7143451,-73.9905184,1130.0,4.0,Asian Fusion
151,XSwagBljEsxG2i1rq4GEAQ,Almondine Bakery,40.7033174,-73.99125059999999,730.0,4.0,Bakeries
152,1Jjg8-vQVRQqqtL4sODi5g,Mekelburg's,40.687542,-73.962334,800.0,4.0,Specialty Food
153,cUyfnb3E7HvzNfbTgTjl_Q,Despaña,40.721068599999995,-73.99790829999999,1000.0,4.5,Spanish
154,2sEz9R32BVOCv2QNfNDyCQ,The Pint shop,40.741856,-74.0071724,,3.5,Ice Cream & Frozen Yogurt
155,_eC8r8yMhcmDL7PWmaNK9w,Brooklyn Crab,40.675264899999995,-74.016568,1130.0,3.0,Seafood
156,4DQ1S0s5ViRsw_wpcT65cw,John Brown Smokehouse,40.7489,-73.95009,1130.0,4.0,Smokehouse
157,UinIRaZuSSYlLrOrhy2V0Q,Catfish,40.674106,-73.953529,1100.0,4.0,Bars
158,q2VwOuFDRJyIUfUFy8HQzg,Suspenders Restaurant & Bar,40.70861,-74.01361999999999,1100.0,4.0,Gastropubs
159,-b3J-5K_beWyGxQ1Id7KQg,Jeepney,40.730294,-73.9835395,1800.0,4.0,Filipino
160,SP4bvMvxel_UPdof_er3HA,Taco Mahal,40.732337,-74.003303,1100.0,4.5,Indian
161,N5MArV2mu4PRBER8Mapdwg,La Goulette,40.71483,-73.96157,1200.0,4.5,Mediterranean
162,KJTTqIxuB0BEsYxLaYyAZw,Tonkatsu Matsunoya,40.753349304199205,-73.9741592407227,1130.0,4.0,Japanese
163,XzKGxGoKCCNqTolEPXQwHw,Little Egypt,40.70805,-73.89814,800.0,4.5,Egyptian
164,af_i3fBov6BCMSfp5rrAdg,Ramen Lab,40.72099179999999,-73.9963582,1700.0,4.0,Ramen
165,Kh0-HmlgmVUkRxR55_Vn1g,Patsy's Pizzeria,40.797129999999996,-73.93481,1100.0,4.0,Pizza
166,UKy0nNjMkOBEU3dOCH831w,Cuba Restaurant and Rum Bar,40.729084,-73.998832,1130.0,4.0,Cuban
167,VzstANC68PM1BbyOcDXEtw,Donburiya,40.76528,-73.98326,1200.0,4.0,Japanese
168,Hc2KkfFWYnWYtL11_F40Ew,Brooklyn Ice House,40.679190000000006,-74.011099,1200.0,4.5,Barbeque
169,pzqb1u_GeU-vkrk_KdFieQ,Brooklyn Roasting Company,40.704228,-73.986241,700.0,4.0,Coffee & Tea
170,jhpeHVxJSmGdD61MTrKi7A,Salud Bar & Grill,40.6846559,-73.9090595,1200.0,4.0,Latin American
171,XHhRAKq6DArQXYhkgvwaow,Spaghetti Incident,40.722315344143894,-73.9899454318763,1730.0,4.0,Italian
172,Iqq4qDMOllbq5VWUy2jsug,Hawaii Poke Bowl,40.6133250651476,-74.158935919404,1100.0,4.5,Bubble Tea
173,7xpbioe88rnW7JjzLEQeRg,Samurai Papa,40.702892072912,-73.943588398397,1200.0,4.5,Japanese
174,keOMomcnyrJEQvFtfEYadg,Swell Dive,40.689183858613,-73.9549609646201,800.0,4.0,Filipino
175,Pfjb9Rn5Th7R-pLXVARwlA,Jin Ramen - West Harlem,40.8154774,-73.9587672,1130.0,4.0,Ramen
176,zYYx6zMrdWKJj623Y2ZZXw,Tapanju,40.723459999999996,-73.9827,1700.0,4.5,Tapas/Small Plates
177,b9Qd4jaxugk7Zo7LE_lLrg,OddFellows Ice Cream Co.,40.702953,-73.992076,1200.0,5.0,Ice Cream & Frozen Yogurt
178,6YsCjSkCoUJ6rVDJe04Yuw,Lhasa Fast Food,40.747479999999996,-73.89183,1130.0,4.5,Himalayan/Nepalese
179,49ST--X1jcIPzUIM1O3K6w,Mominette,40.7032458,-73.9258954,1100.0,4.0,French
180,8wMJdpw2R_4VfS55itB_gQ,Sweetwater Restaurant,40.7184736,-73.96001779999999,1100.0,4.0,American (New)
181,NoRZRkGA0ed2e_Mv0Cquuw,Empanadas Cafe,40.740319899999996,-73.85311,700.0,4.5,Empanadas
182,hFmz7HH2og9hn7xNNv20yw,Il Porto Ristorante,40.6974427,-73.96751970000001,1100.0,4.0,Pizza
183,nGpC40fxoDQ-Ft0h-_gkVg,Bedouin Tent,40.6869769801458,-73.984394049936,1100.0,4.0,Middle Eastern
184,Z-hDHjP4Eza6BA4G97tzVA,BLVD Bistro,40.8058608,-73.94699809999999,1200.0,4.0,American (Traditional)
185,4axlhxyN2bKuRWfnY2IhuQ,Tabaré,40.713046000000006,-73.958968,1700.0,4.0,Latin American
186,zXCGF0XtqjOv1s4DUHOtqg,Hart's Restaurant,40.681458,-73.955893,1730.0,4.5,American (New)
187,qcMpRNrnS6gggYv28dgm_A,Belle Reve,40.719489700000004,-74.00411438836059,1200.0,4.0,Bars
188,f8TZ_ctcSwxwW8S69YKnwg,Il Bambino,40.762809999999995,-73.92089,1030.0,4.5,Italian
