,name,formatted_address,rating,types,lat,lng,id,place_id
36,Flushing Meadows Corona Park,"Queens, NY, USA",4.5,"park, point_of_interest, establishment",40.73971359999999,-73.840785,45542707aa19f452cae27cc2254f5362ec558ce9,ChIJ-2Yhwn9gwokR4Wwy6GgsPRM
37,Solomon R. Guggenheim Museum,"1071 5th Ave, New York, NY 10128, USA",4.3,"museum, point_of_interest, establishment",40.7829796,-73.9589706,aa09742d854b00192daed833e2a56750587e8185,ChIJmZ5emqJYwokRuDz79o0coAQ
38,Franklin D. Roosevelt Four Freedoms Park,"1 FDR Four Freedoms Park, Roosevelt Island, NY 10044, USA",4.6,"park, point_of_interest, establishment",40.7508076,-73.9604123,7a967e503984bdfdbf3786a879794777ae4e29ea,ChIJRUgJkx9ZwokR6W8mnGZVcl0
39,Club Free Time,"20 Waterside Plaza, New York, NY 10010, USA",3.6,"point_of_interest, establishment",40.7373449,-73.9739237,97a5e8c704518489513723554585cfb1c0e8a3ab,ChIJ0fr6tg1ZwokRCo2-vKoTUT8
40,St. Patrick's Cathedral,"5th Ave, New York, NY 10022, USA",4.8,"church, place_of_worship, point_of_interest, establishment",40.7584653,-73.97599269999999,acf24f96362bdabb64807f6c17cba8bb1d5b738a,ChIJUW4vEPxYwokRW6o24DU0YIg
41,Empire State Building,"20 W 34th St, New York, NY 10001, USA",4.6,"point_of_interest, establishment",40.7484405,-73.98566439999999,bc232d2422e7068b2a2ffb314f02e3733dd47796,ChIJaXQRs6lZwokRY6EFpJnhNNE
42,American Museum of Natural History,"Central Park West & 79th St, New York, NY 10024, United States",4.6,"museum, point_of_interest, establishment",40.7813241,-73.9739882,d9dd2c58ebb5c5cb4d00b28db933b7e220a34b5a,ChIJCXoPsPRYwokRsV1MYnKBfaI
43,New York Botanical Garden,"2900 Southern Blvd, Bronx, NY 10458, USA",4.7,"park, point_of_interest, establishment",40.8623935,-73.8772467,00d4a9d11ae62cc044510d9efce504c64187b68b,ChIJyRUHuHzzwokRPxVBNKhcP9c
44,Brooklyn Bridge,"Brooklyn Bridge, New York, NY 10038, USA",4.7,"point_of_interest, establishment",40.7060855,-73.9968643,c1ac50eff9bb8e9505c59c69c4523ae94c4126fc,ChIJK3vOQyNawokRXEa9errdJiU
45,Zuccotti Park,"New York, NY 10006, USA",4.3,"park, point_of_interest, establishment",40.7092649,-74.011262,4ac3a2a7faa4692e0894c4b2ca401538451aadd4,ChIJd_J7XBdawokRpAdtBwzIx0s
46,Escape Games NYC - Escape Room,"79 Leonard St, New York, NY 10013, USA",4.8,"point_of_interest, establishment",40.7175412,-74.0049021,42d64fa34807470d858fed0b3337bcf258c343b2,ChIJhSrwaiBawokRbZtFPKj9Mpc
47,Escape Room NYC - Mission Escape Game,"265 W 37th St Suite 802A, New York, NY 10018, USA",4.8,"point_of_interest, establishment",40.754271,-73.99158899999999,89be4da93efd86cfa1a6d1fe4efae616d43d74bb,ChIJnc6m4ydawokRUi0a-XyHfv0
48,Central Park Carousel,"1802 65th St Transverse, New York, NY 10065, USA",4.2,"point_of_interest, establishment",40.7699237,-73.9752391,f4d460c1f15fcccb957cf48ff688e64c7c10424c,ChIJ43Mlx_NYwokR4bkDRJ0fE2M
49,Deno's Wonder Wheel Amusement Park,"3059 W 12th St, Brooklyn, NY 11224, USA",4.4,"amusement_park, point_of_interest, establishment",40.57433839999999,-73.9781885,90b19ff46230858b415a48c4511e17c216d0caf5,ChIJq2dBUzREwokRugdGFafrtIw
50,Madame Tussauds,"234 W 42nd St, New York, NY 10036, USA",4.3,"museum, point_of_interest, establishment",40.7564269,-73.9888338,91d863aed76a883afe4e320cef399278cb481e4b,ChIJ8VOfr1RYwokRhil9_pcMKuc
51,New York Transit Museum,"99 Schermerhorn St, Brooklyn, NY 11201, USA",4.6,"museum, store, point_of_interest, establishment",40.6904663,-73.9899714,1c9463006879557df9105b67616dfc41e51acb2f,ChIJdThqNVVawokRFk58UQOvtuM
52,Whitney Museum of American Art,"99 Gansevoort St, New York, NY 10014, USA",4.5,"museum, point_of_interest, establishment",40.7395877,-74.0088629,6a6e35a1c9265a5f2b68cb954ba2c06c8dc19093,ChIJN3MJ6pRYwokRiXg91flSP8Y
53,Central Park,"New York, NY, USA",4.8,"park, point_of_interest, establishment",40.7828647,-73.9653551,c9bcef33f0cc85eda31f1c7444e9b1a3b82c9a9f,ChIJ4zGFAZpYwokRGUGph3Mf37k
54,Conservatory Garden,"402 5th Ave, New York, NY 10029, USA",4.7,"park, point_of_interest, establishment",40.7937474,-73.9524239,195a5c1a78d2a97271b74fb3353e782e44a4ea5b,ChIJh70nPBz2wokR7EWPEdNPP9s
55,The Museum of Interesting Things Secret Speakeasy,"177 Prince St, New York, NY 10012, USA",4.4,"museum, point_of_interest, establishment",40.726449,-74.001798,81c3bfcea9cd4d1eaf2db907999725686fcbf83a,ChIJmYlexo1ZwokR1dEp7vEvIYM
56,"Intrepid Sea, Air & Space Museum","Pier 86, W 46th St, New York, NY 10036, United States",4.6,"museum, point_of_interest, establishment",40.7645266,-73.99960759999999,6bb43beb2047e4db91e332d24782460ccf8194c2,ChIJnxlg1U5YwokR8T90UrZiIwI
57,Pete's Candy Store,"709 Lorimer St, Brooklyn, NY 11211, USA",4.5,"bar, point_of_interest, establishment",40.718099,-73.950193,11adf46ba822923f689f94bc4ccb747afa8574bd,ChIJ5dUgV1pZwokRaUaTcwzM2eA
58,Jane's Carousel,"Old Dock St, Brooklyn, NY 11201, USA",4.6,"point_of_interest, establishment",40.7044297,-73.99238629999999,39cc68025d9cab66e9f581fcaa9f9c709d98539f,ChIJU9mVHzFawokRcNNO_Su8zGM
59,Queens County Farm Museum,"73-50 Little Neck Pkwy, Queens, NY 11004, USA",4.4,"museum, point_of_interest, establishment",40.7481378,-73.72104279999999,ec685fed6d83cfdb1a14e06b00828f20549dc1a0,ChIJ97dFr3JiwokRbeAyMsBwcnA
