,name,formatted_address,rating,types,lat,lng,id,place_id
36,NYC Velo,"66 2nd Ave, New York, NY 10003, USA",4.6,"bicycle_store, store, point_of_interest, establishment",40.7258825,-73.9893093,e09c8f98a54c376dd2abadbca725eec65e55eb89,ChIJ0Tw5r4RZwokRiO2CpQQA1m0
37,NYC Velo Hell's Kitchen,"590 W 45th St, New York, NY 10036, USA",4.5,"bicycle_store, store, point_of_interest, establishment",40.7625199,-73.9966348,3afc05e65e44dff6e5e7d5a46ff8e1528316e0f6,ChIJHaHScU5YwokRLT4Io-to9Pc
38,Time Square,"345 W 35th St, New York, NY 10001, USA",4.7,"shopping_mall, point_of_interest, establishment",40.7536704,-73.9946686,c3d4ad87e8a0a1a863c99c3cf2f921518c2bd198,ChIJu2zgh61ZwokRu-BPG0fOCh8
39,Dover Street Market New York,"160 Lexington Ave, New York, NY 10016, USA",4.4,"clothing_store, store, point_of_interest, establishment",40.7440962,-73.9817188,2130ab0bfad8b1bfc2c7d792a5f8a7349517b3e7,ChIJTS9-FAhZwokRcbse7lr_jHA
40,Brookfield Place,"230 Vesey St, New York, NY 10281, USA",4.5,"shopping_mall, point_of_interest, establishment",40.7127168,-74.01528239999999,30005ece85c57803e290712f5f70ffc105849cb9,ChIJy8jTDBtawokRB9wNyxemSw8
41,Necessary Clothing,"443 Broadway, New York, NY 10013, USA",2.3,"clothing_store, store, point_of_interest, establishment",40.720157,-74.0010544,43d3f3f2a6184493a12a73967f2a5db672e153b8,ChIJt41PJopZwokRacUl10saeGA
42,NYC Smoke Shop & Vape Shop,"12 John St, New York, NY 10038, USA",4.2,"store, point_of_interest, establishment",40.7098644,-74.0090517,84963c252168d334e7d6a50d922c60c23b0582c6,ChIJ5f4tLBhawokRut96Q4N690k
43,"Grand St & Bowery, Manhattan, NY","Bowery & Grand St, New York, NY 10013, United States",0.0,"shopping_mall, point_of_interest, establishment",40.7184706,-73.9948124,79b3dafcdaf759a93a86ec0c72c9d36803a3e605,ChIJt-CyCohZwokRARlkL446WW0
44,The Seaport District,"19 Fulton St, New York, NY 10038, USA",4.6,"shopping_mall, point_of_interest, establishment",40.7070877,-74.003546,ee1d7d900f2dfb351b344464139b7a274dc591fa,ChIJh6Pk4TxawokRQn2vBz09L-M
45,Artists & Fleas,"88 10th Ave, New York, NY 10011, USA",4.3,"art_gallery, clothing_store, electronics_store, home_goods_store, store, point_of_interest, establishment",40.7428772,-74.00737409999999,6a7222e9369d59c686855dde3466390ea6c446a6,ChIJo6ZHsMBZwokRBCS2f2XuMVU
46,New York & Company,"1453 Metropolitan Ave #7, Bronx, NY 10462, USA",3.8,"shoe_store, jewelry_store, clothing_store, store, point_of_interest, establishment",40.8370978,-73.8609542,63f23ddcf39b914fae5e7e9ca5e340e4c1a06203,ChIJXxqwNr_0wokRo2CQ4vlQggI
47,Toga Bike Shop,"110 West End Ave, New York, NY 10023, USA",3.3,"bicycle_store, store, point_of_interest, establishment",40.7748037,-73.98785579999999,7ddf99258c35c426552e38fcd788c6c6d9bf641e,ChIJQ9MPHF5YwokRNOs38qSxDM8
48,Dehati Mall,"New York, NY 10007, USA",5.0,"shopping_mall, point_of_interest, establishment",40.7160722,-74.004954,1bd0aad230b6004268df5d440cd236880ffdcdd2,ChIJn2p1tSFawokRCCMGHsSwZY4
49,Tangchao Inc,"114,, 88 E Broadway, New York, NY 10002, United States",5.0,"shopping_mall, point_of_interest, establishment",40.7138354,-73.99414030000001,beda2db3551bed6e9d932fd00bb44c4f0691db2e,ChIJq3ALmyhawokRUoR_1x4s2PY
50,Exit9 Gift Emporium NYC,"51 Avenue A, New York, NY 10009, USA",4.5,"home_goods_store, store, point_of_interest, establishment",40.7241016,-73.9852646,8f457dedae6fe1f79ce62f0a6a22221c03aedf14,ChIJOzIewIJZwokRlex7MS_C-hQ
51,New York & Company,"409 Gateway Dr, Brooklyn, NY 11239, USA",4.2,"shoe_store, jewelry_store, clothing_store, store, point_of_interest, establishment",40.6532669,-73.87187759999999,ef8ef5e204246bb7737052ad0b3fff4411f2c122,ChIJeQYDhQ5dwokRyqawBQIG_TM
52,Macy's,"151 W 34th St, New York, NY 10001, USA",4.3,"department_store, shoe_store, jewelry_store, furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment",40.7508025,-73.98948349999999,e04114820206890ff0155d2f7a6f7efc0903fb9b,ChIJ3xjWra5ZwokRrwJ0KZ4yKNs
53,Strand Bookstore,"828 Broadway, New York, NY 10003, USA",4.8,"book_store, store, point_of_interest, establishment",40.73331700000001,-73.9909639,e00fc357335dd6213a1bbf3de746d61e91d458b5,ChIJnSKGEJlZwokRQIpiCvzKzV4
54,Fujifilm Wonder Photo Shop,"176 5th Ave, New York, NY 10010, USA",4.1,"electronics_store, home_goods_store, store, point_of_interest, establishment",40.7411545,-73.9900821,3d9399f53ac0de5a6ccad35d16d7878d4d96f789,ChIJg1K29aNZwokRbrJKbWmtBeA
55,Ministry of Tomorrow - Vegan Luxury Designer Leather Hand Bags NY,"185 Greenwich St, New York, NY 10007, USA",5.0,"shopping_mall, point_of_interest, establishment",40.71103919999999,-74.01174840000002,dd5724a1c70c01957fe074bbfe8eb346ce504130,ChIJx_I4jRlawokRttXSQolQatk
56,The Drama Book Shop Inc,"250 W 40th St #1, New York, NY 10018, USA",4.8,"book_store, store, point_of_interest, establishment",40.7554504,-73.9898286,a71a042cb58bd6b021d51b98c6195d3d82254ab5,ChIJKwlmsKxZwokRfLTqxrJvDzY
57,Landmark Coffee Shop,"158 Grand St, New York, NY 10013, USA",4.0,"cafe, store, restaurant, point_of_interest, food, establishment",40.7199563,-73.99862499999999,9fbb100abd8300d77b0cd6babc31f2b74e5e8f2a,ChIJN66GpolZwokRAPJSwkC8FtE
58,New York & Company,"30-37 Steinway St #30, Astoria, NY 11103, USA",3.7,"shoe_store, jewelry_store, clothing_store, store, point_of_interest, establishment",40.762637,-73.9155396,5797e1670cc677d7e900cc1469fcd1b651a22bc8,ChIJ6czb_T5fwokRUE1hE-pyv5Q
59,Disney Store,"1540 Broadway, New York, NY 10036, USA",4.5,"clothing_store, store, point_of_interest, establishment",40.7582571,-73.9850313,9f6776e9380b8d7ae0d5978db32f3b7c8bd87aa8,ChIJf2_0qFVYwokRcbTtlS60Vqg
